,Unnamed: 0,id,tweet,subtask_a
1159,1160,93402,@USER og balle er lort,OFF
1163,1164,97658,@USER Din fucking Bf nigga,OFF
1165,1166,48474,"@USER @USER Denne B ** ch Behar er nødt til at lukke det store grimme hul i hendes ansigt og tænke over det faktum, at hun ikke giver Kavanaugh eller hans familie fordel af deres rettigheder som borgere. I hendes fede hoved er de skyldige bc de er konservative. Behar har brug for en snude omkring anstændige mennesker. HRC klon.",OFF
1166,1167,35384,@USER Mueller kan forse sig selv. Han er lige så skæv som dagen er lang.,OFF
1167,1168,11746,"Folk, der efterlader racistiske kommentarer til mine indlæg, bliver øjeblikkeligt blokeret. Der er lave opfølgningskonti, der lægger denne crap, og jeg tror, de prøver at få #MAGA til at se dårligt ud, hvis du på nogen måde er racistisk, er du velkommen til at blokere mig, fordi jeg tror, du er et uvidende POS",OFF
1168,1169,90460,"@USER Hvorfor er Antifa oprørt w / &quot;prof.&quot; Blaserte-Ford? Antifa er gruppen, der chikanerer og truer mennesker i deres hjem.",OFF
1170,1171,46544,@USER Både QAnon og Antifa vil blive opført som sygdomme,OFF
1172,1173,57446,@USER Jeg elsker dig bitchhh jeg vil aldrig stoppe med at elske dig .... bitchhhhhh,OFF
1173,1174,30412,"@USER fordi jeg er en knæk røv bitxh: (((((og LOL EVEB BEDRE hun løber i søvnen, ligesom mens hun ligger ned, løber hun bare som fødder, der går i gang) xD, og jeg bliver sparket meget 🤙🏻",OFF
1177,1178,94913,"@USER Fordi han har ret, er guvernøren i Puerto Rico a en svindel",OFF
1183,1184,88710,"@USER Nå, hvis Trumpster sagde det, må det være sandt, at han også har en 10 på at håndtere Cuba orkan trist stykke af noget, han er ...",OFF
1190,1191,28150,@USER Bare det at lytte til Juan Williams på FIVE gør mig gal. Han er sådan en ignorant mand. Hvor får denne mand sine fakta? Tak Gud for Jesse Waters og jer damer!,OFF
1191,1192,90308,"@USER Nu er det den pot, der kalder kedlen sort! Venstre er intet andet end mobber! Antifa-Bullies !!! Trump Haters-Bullies !!!",OFF
1197,1198,35958,"@USER @USER Bevis din påstand eller bliv udsat for det liggende stykke lort, du er. I mellemtiden ... URL",OFF
1198,1199,56689,"@USER @USER @USER Gør det med Koranen, og så vil vi se, hvor meget ateist og modig hun er ... hindus regnede ud af, at denne type opmærksomhed, der griber stor boss, når de vil være mennesker, ikke er det værd ... Gå live i dine 2 minutter Prime Time dækkede livet ... Lord krishna og hans tilhængere er ligeglad",OFF
1205,1206,40471,"@USER Goodell er en af de værste ting, der nogensinde er blevet løsrevet på Pro Sports. Ubrugelig!!!",OFF
1207,1208,51613,@USER @USER Lille røv dreng🐒,OFF
1209,1210,11519,"@USER Det var Awesome. Jeg elsker at høre dig ødelægge de liberale, men mest af alt Trudeau",OFF
1210,1211,92684,@USER Og fabrikken kommer tilbage U laver en film om den ... sum værd at gøre .. fordi bare slynge lort viser Ingen intelligens ..,OFF
1211,1212,28679,@USER Deranged og demented hvad en perfekt match for det demokratiske parti,OFF
1213,1214,41642,"@USER @USER Venstre er fulde af had, men de taler ligesom deres moral er over enhver, der tænker anderledes. Sjovt, hvordan deres ord og handlinger aldrig stemmer overens med, hvad de foregiver at prædike. Påhviler enhver menneskelig anstændighed. Følelsesmæssigt og politisk konkurs.",OFF
1215,1216,52687,"@USER @USER fandt ud af navnet, men jeg har glemt det.",OFF
1219,1220,78450,@USER @USER Publikummet &#39;AntiFa&#39;? Hvilket kvak.,OFF
1223,1224,49383,"@USER @USER @USER @USER denne kommentar viser kun, at efter at have nægtet at beskæftige sig med fakta, anvender du den fascistiske antifa-tilgang, som er at bruge personligt angreb for at prøve at mobbe dig vej ind i en mytisk gevinst. Undersøg fremskrivning og stop med at gøre det u ser dum ud nu!",OFF
1228,1229,89284,"@USER Hans mund går til den ene side alle grin og lort, og jeg kan ikke lide det.",OFF
1235,1236,12987,"Willies sårende reaktion på hans tidligere fans, der har forladt ham i hopetid af hans støtte til den lille hippie Beano. #MAGA @USER URL",OFF
1237,1238,13087,"@USER @USER Jeg ved rigtigt. Det irriterer mig, at han er så travlt med at give sig selv kredit, mens vi alle er bange for døden her i USA. Jeg stoler ikke på ham",OFF
1238,1239,48421,@USER Hun er ond! Hvordan tør hende.,OFF
1242,1243,35308,@USER Brennan sikker som helvede er.,OFF
1243,1244,55842,@USER Det er nøjagtigt hvorfor jeg tweetede !! Nå det og gøre narr af liberale og deres sindssyge !! 🙏🇺🇸❤️✝️❤️🇺🇸🙏 GUD hjælp !!! 🙏❤️✝️✝️❤️🙏,OFF
1246,1247,84775,"@USER @USER Ingen mennesker døde, fordi embedsmænd, der frarøvede n, ikke gjorde deres job",OFF
1249,1250,67852,@USER LMAO mand folk talte så meget lort i går. Enhver kommentar Marvel stan twitter? Moe overdrevne Thanos-vittigheder eller ... URL,OFF
1250,1251,43569,Skal jeg prøve aikido i stedet for krav maga? 🤔🤔 #aikido #kravmaga,OFF
1251,1252,71717,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Hvis vi ikke ødelægger Bush-Clinton Crime-familien vi står over for mange flere som Obama !!,OFF
1254,1255,59633,"@USER Måske ville der ikke være 5 af disse ting om dagen, hvor der var en lidt fornuftig pistolkontrol i dette fucking land.",OFF
1256,1257,45078,@USER #TankTrump DETTE ER EN &#39;START&#39; VI SKAL FÅ disse &#39;TALER&#39; NED TIL 0 (NUL) AF &#39;NOGEN&#39; OG &#39;ALLE&#39; BETYDER &#39;Nødvendige&#39; disse såkaldte &#39;refusioner&#39; der ikke er &#39;TERRORIST SEXUELLE RETTIGHEDER&#39; SKAL OPSTÅ VÆRE &#39;COWARDS&#39; OG &#39;RETURN&#39; TIL &#39;THE THE NATIVE LANDS&#39; TO &#39;Fight &quot;#MAGA #refugeesNOTwelcome,OFF
1259,1260,15222,"@USER Awesome sejr !! Jeg tror virkelig, at amerikanere er syge ihjel af, hvad venstreorienterede forsøger at gøre for at ødelægge Amerika og ændre vores land til det, det aldrig var beregnet til at være. Gå med at stemme Amerika og MAGA! Tak præsident Trump for at have tro på vores land og holde løfter.",OFF
1260,1261,94425,"@USER @USER Opkald til konservative Hillbillies ... hmmm det er originalt. Sjovt, hvor mange &quot;dårlige bakkefugle&quot; du tweeter om har indtægter og IQ er 4 gange højere end dig. Din humor sutter btw.",OFF
1261,1262,86725,@USER Min kollega har en syg røv til arbejde,OFF
1263,1264,26435,"@USER @USER Se på Sverige, Frankrig, England, Europa ændrer sig. EUROPA VIL VÆRE ET MUSLIMT INDHOLD I 2050. Se YouTube-videotitlen MUSLIM DEMOGRAFIK &quot;, DU SKAL BÆRES DØDE, medmindre du er muslim eller elsker islam. Mind u, jeg er en afrikaner i Amerika.&quot;",OFF
1266,1267,24282,"@USER @USER Overvejer ingen det faktum, at Rusland muligvis bruger Antifa til at sprede sort propaganda ??? Husk Berlin-muren ???",OFF
1268,1269,36206,@USER Fattige tyskere ... de har flygtningevold og antifa-vold..Det skal være rart at bo i Germanistan.,OFF
1271,1272,10057,"@USER @USER Hun trolder med at kneppe med dig, fordi nogle af jer skal være hurtige til at ringe til MFS coons for mindre uenigheder",OFF
1272,1273,70336,@USER @USER Jeg hader @USER så meget nu. De kneppet hele franchisen.,OFF
1273,1274,11650,"@USER Han vil ødelægge Amerika, ligesom han har gjort med mange af sine virksomheder, han holder af Amerika eller Mellemamerika og amerikanere, som han kun plejer for sig selv og de øverste 1%, der forhåbentlig ser lyset hurtigt, før de ikke har nogen lande at sælge deres produkter til",OFF
1274,1275,54987,"@USER @USER rae sis siger ikke noget lovovertrædelse &quot;så som tweets, der kalder mig en trist tæve, også er jeg virkelig chokeret på L6-toget i år&quot;",OFF
1275,1276,30811,"@USER @USER Alt, hvad han mangler, er det indsatte nummer",OFF
1287,1288,62929,"@USER @USER @USER Sådan fungerer en karriere i medier ... folk beundrer dig. Hvis folk tror, du er et stykke lort, kommer du ikke langt.",OFF
1293,1294,20490,"@USER @USER @USER Socialisme, når den er implementeret, har historisk set kun haft en effektiv stopforanstaltning, og det har været borgerkrig. At vide, at styrken / resonnementet bag pistolkontrollen &quot;bliver klar. Du kan få et klart billede af denne proces ved at læse Saul Alinsky&#39;s-regler for radikaler.&quot;",OFF
1305,1306,23902,"@USER aaaaaaaaa det er så spændende !!! flertallet af mine venner er i andet år på dette tidspunkt, så det slag, jeg er ved at modtage, fra at flytte til en hel røv, et andet land ikke har ramt endnu .... Jeg laver filmstudier, fordi jeg hader mig selv tilsyneladende: / wbu babie",OFF
1312,1313,95606,"@USER De håber overalt. Men så er de sandsynligvis den største skare af racistiske bigots i det land, de støtter antifa",OFF
1313,1314,53591,"@USER @USER @USER @USER @USER Aber er blevet brugt i århundreder til at dehumanisere sorte mennesker, men intet af det har noget at gøre med den 5. største økonomi i verden og et overskud på 9 milliarder. Alt andet, du siger, er vrøvl. Mod din L og gå",OFF
1314,1315,69593,"@USER @USER Omg !!! En god fyr er nu ond !!!! Samme ting der sker er Amerika !!! De globalistiske verdensledere med alle deres penge ville have os til at tro, hvad der er ondt er godt, og hvad der er godt er ondt !! Det har jeg læst i den gode bog !! Til sluttid !!!!",OFF
1316,1317,65922,"@USER Så er jeg lige så skør som dig, fordi jeg tror, at det samme resultat vil ske denne søndag 49ers 27 KC 17 Niners baby👍👊",OFF
1318,1319,91693,@USER @USER @USER Hvorfor følger nogle konservative blindt en fascist?,OFF
1320,1321,88954,"@USER @USER @USER lyttede &quot;. De giver ikke noget lort om, hvad fansne synes. Alt, hvad de laver, er at tælle deres Fox-penge.&quot;",OFF
1321,1322,51153,"@USER Du blev narret af i går aftes af Kavanaugh, så som et uhyggeligt barn, der søger opmærksomhed youngo på din brede øje. Du er en forlegenhed for kammeret og dette land",OFF
1327,1328,53994,@USER Oh shit dette vil udløse nogle bigots,OFF
1332,1333,67261,@USER Se på denne nedkøling som en fandskægget drage-URL,OFF
1338,1339,21146,"@USER Nå, der er den ene idiot, du fortsat tænker, vil dukke op i dit spejl hver solnedgang, når du rejser dig igen for at gå natten på jagt efter blodbad for at udfylde tomheden, hvor dit hjerte og sjæl plejede at være. Altho, nu skal du nævne det, kommer mange andre konservative også i tankerne. &quot;",OFF
1340,1341,94737,"Et lille påskønnelsesindlæg til min bestie, fordi hun er en dårlig tæve, og jeg er taknemlig for hende💗 @USER URL",OFF
1341,1342,16774,@USER @USER Det er Bull Shit. Vi ved alle.,OFF
1344,1345,37906,"@USER Du er en feje og har virkelig ingen ret til at være AG. Du er en skuffelse. Dine dage er nummereret, og det er hans fest.",OFF
1346,1347,43540,"@USER Han tænker, at han fortæller den store løgn.",OFF
1350,1351,18626,@USER @USER Det får min hud til at gennemgå bare se på denne kvinde - Theresa May er et ansvar over for vores nation og @USER og skal fjernes ASAP,OFF
1352,1353,25418,@USER Han kan sutte det.,OFF
1353,1354,63476,"@USER @USER @USER @USER @USER Han havde 1 tilbud siden juni! Shitty browns, det er det !! Stop med at tro, at han stadig er god, du lever i fortiden",OFF
1356,1357,38235,@USER Gun Control betyder brug af begge hænder. Og i dette tilfælde betyder det at erhverve det rigtige mål. Du kan ikke ordne dumt.,OFF
1360,1361,55806,"@USER @USER @USER En nyttig idiot. Har ikke længere brug for ham. Deres til travlt med at blive generet med pistolkontrol nu. Travlt med at finde ud af, hvordan man kan svinge et valg til fordel. Der sker ikke pistoler 😂🇺🇸💪",OFF
1361,1362,87342,"@USER Mine tanker og bønner er hos familierne. Tilfældige masseskydder, der plager vores nation, er ikke normale, og vi som land kan ikke tillade, at de normaliseres, ”sagde Craley,” Sandheden er, at disse masseskydder bliver for ”normale”. Pistolkontrol ville bestemt hjælpe. &quot;",OFF
1362,1363,82687,#DougFord igen ved hjælp af # Trump-stil autoritær taktik: • Miskrediter medierne. • Spredt løgne gentagne gange. • Byg en falsk virkelighed for dine tilhængere. Dette er smarte mennesker. De konservative ved hvad de laver. Dette er en planlagt strategi for at svække demokratiet. #ONpoli URL,OFF
1363,1364,24454,"@USER @USER @USER Nej, du ville ikke se, jeg ved forbandet godt, du ville sandsynligvis kalde det søde mennesker, der foreslår på koncerter hele tiden endnu, når det er et homoseksuelt par, er det forkert, du er på en fucking koncert, du behøver ikke at Vær opmærksom",OFF
1365,1366,25338,"@USER Naaa. Jeg har tilbragt 24 timer på at grine mine enorme nødder af din dumhed. Du finker din form for enhed, men dine hele en bange bange antifa-FUSSER har ingen muskler til at se nogen, du prøver at mobbe. Selv det er patetisk.",OFF
1369,1370,80515,@USER Det er en løgn ... dine antifa-venstre er intet andet end voldelige. Denne lærer brugte megen tid på at planlægge dette angreb på en ærefuld mand med nul bevis. Ingen grund overhovedet til at holde kavanaugh op! Et andet vanvittigt liberalt hit job !!,OFF
1372,1373,77105,@USER vi defo lever i de sidste dage,OFF
1373,1374,10719,"Adam Schiff siger, at han er FOR at frigive FISA-info URL Bare en anden i en lang liste med bureaukratiske hacks, der skal renses fra DC! @USER skal du fortsætte med at gøre, hvad du gør for at afsløre disse svig og hykleri !! #MAGA # KAG2020 #QAnon #WINNING # WWG1WGA URL",OFF
1375,1376,54273,"@USER @USER De officielle ledige tal er en vittighed. Der er millioner af amerikanere, der mistede deres job og karriere til H-1b. Deres arbejdsløshedsunderstøttelse løb for mange år siden. Giv dem deres job tilbage. Afslut H-1B nu.",OFF
1388,1389,83844,@USER @USER Han er syg. Meget forstyrret. Og den kommentar beviser det!,OFF
1389,1390,25944,@USER Som om en liberal betahandhane kunne engagere sig i sex med en lige kvindelig.,OFF
1392,1393,74862,"@USER Godt, at hun ville yde sin støtte til den liggende kvige, der fremsætter de falske beskyldninger. Hun har ikke mere intelligens end resten af de liberale, der udspiller nogen!",OFF
1393,1394,64322,"@USER allerede min røv, jeg havde så mange skide skud i aften",OFF
1397,1398,15618,"@USER Jeg har seriøst ikke flere ord for, hvor fanden han er. Hver gang jeg tror, jeg fandt ordet, gør han noget endnu mere afskyeligt og oprørende. Det bedste, jeg kan gøre, er at håbe, at han kvæler i sit eget opkast for alle de dumme løgne, han har fortalt. Som en seriemorder har han ingen sjæl ..",OFF
1398,1399,31240,@USER Men Tinubu støtter dette monster mod os. Den største Yoruba-forræder i den moderne Yoruba-politik er Tinubu!,OFF
1405,1406,83966,"@USER @USER URL en højteknologisk lynsting for Uppity (Republican) Sorte &#39;&quot;er fint, men at voldtage kvinder af liberale?&#39; &quot;DE HELE GØR DET&quot; inklusive Bill Clinton. &quot;",OFF
1411,1412,47741,@USER For at lyve? Hvor meget betaler DNC / Soros / Antifa hende? Hvordan har din kinesiske spion det?,OFF
1412,1413,29634,"@USER Lmao god en! Hør nu op, din kone er gnistet, hun er en sygdom, hun er en købt og betalt for en ond sjælfri propagandaramme for børnemordere og russiske agenter. Så hold dig til dine søde tweets, men jeg ville forberede mig på en lang fængselsstraf, hvis jeg var dig.",OFF
1415,1416,66578,"@USER @USER @USER de er bullshit-statistikker. men siger ikke, er London ikke mordhovedstaden i Europa nu? at pistolkontrol fungerer rigtigt? tyskland med nogle alvorlige kriminelle problemer. måske skal du tage sig af forretninger derhjemme4 begynde at twitre om USA",OFF
1417,1418,35726,@USER Democrats = Thugs,OFF
1419,1420,91440,"@USER @USER Hvilket også posturing nonsens. Hvis de ønsker at fjerne hende, ville de videresende de krævede breve til deres delpisk, og hun står over for en lederudfordring. Hendes &#39;udfordrere&#39; er lige så gutless og uden viden som hun er.",OFF
1426,1427,98976,@USER Gud hjælpe os. kvinden kan ikke endda få sammenhængende sætning ud af munden.,OFF
1430,1431,93601,@USER Hollywood er fuld af demoniske demokrater.,OFF
1431,1432,81967,"@USER Indtil han er død. For selv efter at han er ude af embedet, vil han sandsynligvis kommandere nyhedscyklussen i lang tid.",OFF
1432,1433,78008,@USER Husk mig på Antifa ratbags.,OFF
1436,1437,80399,"@USER @USER @USER @USER @USER med billedteksten så meget for den tolerante venstre &quot;... yup du passer til beskrivelsen af ANTIFA. Jeg formoder, at du ikke er en trussel, da jeg tvivler på, at du kan angribe enhver journalister fra din mors kælder .&quot;",OFF
1440,1441,90654,@USER @USER De skulle klæde ham i en isuniform uden våben og få ham til at gå på pensionatet om natten og bede om narkotikakartellet.,OFF
1446,1447,55766,@USER @USER @USER Det hovedflick kl. 05:05 er hendes ego der får et hit. Hun kan ikke tage kritik. Hun er en svag inkompetent autoritær.,OFF
1451,1452,39471,". @ USER Jeg installerer ikke din shitty app, men sætter mig ned for 100% for den anden ændring / campus-bære, 100% mod pistolkontrol undtagen voldelige forbrydere &quot;. URL",OFF
1454,1455,84281,@USER @USER @USER Fuck ja ride det skat!,OFF
1456,1457,54306,"@USER Lol, læs titlen, og du ved allerede, hvad der kommer ... ... der støtter løsninger på sund fornuft til at reducere pistolvold, &quot;Hvordan adskiller pistolvold fra anden vold? Hvad er en ikke-automatisk skydevåben? Hvad er almindeligt følelse af pistolkontrol? Er det som Chicago, NY, .. London? .. &quot;",OFF
1457,1458,50560,@USER @USER Nogen gør noget !!! Dette show suger længere !! Sætdesignerne er dog gode! #firemalyoung,OFF
1458,1459,32416,"#PeoplesVote #StopBrexit @USER #remain Jeg vil ikke gå .. heller, ved du hvad, efter at vi er gået, vil mine slogans blive Det plejede at være bedre end dette ”burde have været i. Useløs regering. URL",OFF
1461,1462,44825,"@USER @USER @USER Men hvad får dig til at tro, at de er liberale? Der er ikke noget liberalt ved noget af det. Disse mennesker tilbragte 90&#39;erne med at fornærme liberaler, offentligt ydmyge sorte aktivister og angreb åbent New Deal. Hvor er den liberale &quot;del? De vedtog GOP-politikker!&quot;",OFF
1463,1464,50605,"@USER @USER Her kommer beta-liberale lmao * konvo dempet, du kan græde hele dagen til jer selv.",OFF
1465,1466,81733,@USER @USER @USER @USER Forbindelser er vigtige med alle de skitne Twitter-kræfter på konservative.,OFF
1467,1468,32322,"@USER Husk godt, hvordan politiet i San Jose stod ned &quot;og så på, da antifa-bølger bevæbnet med flagermus, flasker og peberspray angreb Trumps rally-gæere? De fulgte&quot; bare ordrer &quot;. Det er hvad de fleste soldater og politiet gør. Soldater følger ordrer &amp; politiet beskytter deres lønseddel. SAD. &quot;",OFF
1468,1469,90490,"# GreatestTings AboutThe90s INGENTING. De forræderske venstreorienterede mediefolk sørgede for, at Benny Hill blev fjernet fra tv&#39;et, og endnu mere forræderske konservative “konspirerede for at fjerne Maggie Thatcher som vores leder, da underskrev han næsten dødeligt endnu dybere ind i det ekstremt fjendtlige commie EU”",OFF
1472,1473,38878,"@USER @USER Jeg spekulerer på, om de vil brænde deres Levis, da @USER er kommet ud til fordel for pistolkontrol? Levi Strauss går sammen med pistolkontrolgruppe: Vi kan ikke stå stille ved &quot;URL URL",OFF
1473,1474,46881,@USER @USER God shit min dårlige dog,OFF
1477,1478,16833,"@USER @USER Hun kan ligge i det lort, hun skabte",OFF
1479,1480,35133,"@USER @USER Det er bare forfærdeligt! Han var aldrig meget alligevel! En voksen mand, der handler sådan; en mobber ! Bedst for dig og hendes husbond Mark! MAGA 🇺🇸",OFF
1484,1485,65372,"@USER Jeg har stillet mig det samme spørgsmål, og det er fordi han er sådan en falsk. Hvis han er sådan en fan af kløften, hvorfor er og spiller han stadig for Cavaliers POS. Han prøver at redde ansigt med Fanbase, og det er så åbenlyst, at det er hans fakeness! Men dumme mennesker vil købe ind",OFF
1487,1488,25729,@USER Korrupte dcrats ansvarlige i PR det store problem,OFF
1490,1491,81553,@USER Obama var djævelen inkarneret &amp; Trump er Jesus Kristus selv. Jeg kommer dit sted du kommer fra.,OFF
1491,1492,76643,@USER Kære Paul McFartney - Du havde os hos Beatles. Du mistede os ved præsident Mad Captain. Brænd i helvede - Jon. &quot;URL,OFF
1495,1496,85971,@USER nah min foodie røv vil med glæde sige det. der fungerer på absolut ingen skide gane.,OFF
1499,1500,29157,@USER Jeg savner dig tæve !!,OFF
1500,1501,38181,@USER @USER @USER @USER @USER @USER @USER @USER @USER NS-liberale vil sælge fiskere ud i hjerteslag. Disse NS-liberale er sandsynligvis på linje efter uddelingssteder i den private sektor. Store penge bundet til Kameron Coal. @USER er ligeglad med Nova Scotians. Se på sundhed og uddannelse. Fiskeri næste?,OFF
1502,1503,81472,@USER for at afslutte sex?,OFF
1506,1507,14424,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER 😁TeleSmokaCatin &#39;forbandet, der så bedre ud i mit hoved😁😉🤣😎",OFF
1510,1511,23522,@USER Silly unhinged liberale.,OFF
1513,1514,20506,"@USER @USER @USER Hvordan finder du ud af alle disse løgne. Du har ikke gjort noget, hvad angår pistolkontrol. Åbn dine øjne Obama din helt havde 8 år i embedet. Alt hvad du gør er at sutte rundt til sidste øjeblik afstemning.",OFF
1515,1516,49479,"@USER Hvis Martin kun var så besat af Kristus, som han er med homoseksualitet.",OFF
1517,1518,80858,"@USER Du er en stor plet i det dharmiske Kashmiri Pandits-samfund. I modernitetens navn har du mistet al sundhed, der afspejler sig i den måde, du har støttet denne loony kvindes hindufobi.",OFF
1524,1525,99581,@USER @USER @USER Hah! De skide chats!!! &#39;Onya drenge!,OFF
1526,1527,23969,"@USER Det er modbydeligt at sammenligne en dato &quot;med voldtægt. Jeg håber, at din familie aldrig behøver at beskæftige sig med voldtægt. Du er et oprørende POS.&quot;",OFF
1533,1534,32748,@USER Uhyggelig,OFF
1535,1536,43949,@USER @USER Elsker denne kvinde At fortælle sandheden hver dag HVORFOR skal konservative påpege det åbenlyse.Er folk virkelig så dumme,OFF
1539,1540,50878,@USER @USER @USER Hun er en vort samfund,OFF
1544,1545,57128,@USER Disse tæver på min hjerne,OFF
1546,1547,27002,"@USER @USER Aftalt. Det er sandsynligvis hvide mennesker, der skriger, hvor stødende hun også er. Jeg ville ønske, at Big Brother ikke blev tvunget af twitter SJW-hæren til at fjerne hende. Vi har alle sagt stødende ting, da vi var teenagere.",OFF
1547,1548,17890,"@USER @USER Vi bagud af samfundet vil sikre dig, at du aldrig er præsident ❗",OFF
1550,1551,94541,@USER Den er til pornhub ...,OFF
1552,1553,59539,"@USER @USER @USER @USER @USER Derfor er jeg noget i konflikt med at tale lort eller forsvare mig selv, fordi der er så mange VÆRE INTELLIGENTE lyse sind derude, der er blevet holdt som gidsler af MSM propaganda Peddling. Men uhave at læse disse dokumenter og dykke dybt for at vide, hvem der finansierer Antifa / MSM / DNC osv",OFF
1553,1554,67281,@USER Det er shitty,OFF
1555,1556,98345,@USER @USER Type af hvorfor vi har brug for NATION-WIDE GUN CONTROL. Er du virkelig så dum?,OFF
1560,1561,93124,@USER .... og bryster. Glem IKKE tatas. ❤️,OFF
1566,1567,53785,"@USER Fantastisk stilk..jegere som dig selv og din kone er grunden til, at disse dyr findes, så disse skøre liberale har noget at klage over.",OFF
1573,1574,85147,@USER @USER @USER Over 7 år .... det er patetisk.,OFF
1576,1577,72727,@USER @USER du er fuldstændig vanærende med at du kalder navnet .... ulækkert,OFF
1583,1584,52548,:( Hun er meget ond. URL,OFF
1586,1587,19906,"@USER @USER Hun er tragisk, fordi hun er en idiot, og fordi hun havde en enorm internaliseret misogyny. Jeg tænker på det øjeblik, vi er i greb om som Halv-idiotens tyranni.",OFF
1587,1588,16721,"Fort Trump i Polen ?! Lyder godt for mig !! En anden varig påmindelse til Venstre / Dems, hvor meget resten af verden hader &quot;@USER #MAGA # WWG1WGA # RedWave2018 # DrainTheSwamp #FortTrump&quot;",OFF
1590,1591,76436,"@USER Venstre: Anderson Cooper er homoseksuel, hvilket som standard betyder, at han aldrig kan gøre forkert. Også liberale: Trump Jr er en pos på grund af, hvem far er.",OFF
1592,1593,26109,@USER Aye nigga👀,OFF
1599,1600,29927,"@USER DETTE ER IKKE ET HJÆRN. HVIS hun står for, hvad hun siger, hun har at stemme imod ham, hvis hun lytter til, at hun fortjener at blive ydmyget og forsvundet. VI VIL SE, HVIS HUN SPILLER PRO-VALGET, DER ER BETALT TIL ELEKTRERET ELLER HVIS HUN BARE ER EN ANDEN GOPER KOCHSUCKER",OFF
1600,1601,31793,@USER Du er et stykke lort! HVORFOR VIL DU DRADE DET DYRE? Hvordan har din mor det?,OFF
1604,1605,81372,@USER Cher hjælper republikansk parti med hendes unhinged rants ...,OFF
1606,1607,55896,"@USER @USER @USER @USER @USER @USER Hvordan er betaling af skatter valgfri? Skatteunddragelse er en forbrydelse. Vi har menneskerettighedslove og 1A; din mening om dette spørgsmål er urimelig. Gilliam er ikke anti 2A. Fornuftig pistolkontrol, der ville forhindre psykisk syge mennesker som dig, at eje en pistol er alt, hvad vi ønsker.",OFF
1607,1608,92582,"@USER @USER Jeg har lige set en video om, at du ødelægger vores regering, og ud fra de beviser, jeg lige så, du skal i fængsel !!!! #MAGA #TheGreat Awakening #QAnon #YouAreGoingToJail #YouHaveBeenExposed URL",OFF
1608,1609,61381,@USER Fuck en medicintest,OFF
1609,1610,94644,"@USER Som nogen, der aldrig havde spillet Spiderman 2 som barn: Jeg vil og prøvede det et år eller 2 tilbage og idk, hvilken slags kollektiv nostalgi folk er på, men disse web-svingende mekanik er busted som fuck og kinda affald.",OFF
1612,1613,70372,"@USER En anden liggende liberal .. Mange liggende biblioteker vil blive udsat, da de ikke klassificerer dokumenter. Venstre vil ligge snyderi og stjæle for at forsøge at bringe vores land ned. Stop denne anti-amerikanske idiotiske socialistiske bevægelse stemmer republikaneren i november Trump 2020.",OFF
1615,1616,57823,@USER ja tæve 💖💓,OFF
1617,1618,29563,"@USER @USER @USER Lil pige, vi har en voksen samtale, så tag din tynde røv et sted, hvor du skal grave",OFF
1622,1623,36697,"@USER Kunne været dig, hvis du ikke stoppede med at tage Molly og lort! Glad for at du ændrede dig og stadig er der. Absolut suger max bestået. Sådan en fantastisk kunstner! Rip Mac.",OFF
1626,1627,91719,@USER @USER @USER Igen for hørehæmmede: En AR15 er et INANIMAT objekt. En AR15 er ikke INHERENTET ond. Kanonkontrol Nedsætter IKKE pistolvold. Bevæbnede borgere MINDRE SOM til at blive ofre for masseskydder. Holocaust blev ikke forhindret af BANNING-ovne.,OFF
1627,1628,23667,@USER En anden terrorist bragt ind af obumer!,OFF
1631,1632,31757,@USER @USER @USER @USER er blevet partiet af “himlen falder” og “vi skal alle dø”. Hvilken trist flok.,OFF
1632,1633,26277,@USER @USER @USER @USER @USER @USER Q er en Photoshop. QAnon er dog virkelig. Silly liberale tricks er til børn!,OFF
1633,1634,75502,"@USER @USER Ja, det er du. du er bare for blind til at indse det",OFF
1639,1640,22202,"@USER Du har så ret i dette spørgsmål, og demokrater har ljuget for det amerikanske folk i længe for nylig, det ser ud til at der alle går gale i hovedet lol",OFF
1642,1643,68621,"@USER @USER Jeg er ikke i uncomefortbul miss Williams er en god skuespiller, eller hun synes, hun er savnet Williams er ude af stand i hvad hun sagde til dommereglerne gælder selv for at gå glip af Williams, men du forvandler det til o som kvinder ikke denne knogle, der savner Williams, er ude af drift, det er en stenmur",OFF
1643,1644,96871,"@USER @USER Racist, alt hvad hun er. Min gud mindre end 10% af befolkningen og græder 😿 mere end andre 90 sammensat. Trump laver et godt stykke arbejde bare fordi han fik hvid hud, du behøver ikke had mod ham igen og igen og igen",OFF
1647,1648,30411,20 Crazy Things Liberals beskylder Trump for &quot;URL #TCOT #MAGA #RedNationRising&quot;,OFF
1648,1649,55451,"@USER vs Antifa. Jeg ved, hvem mine penge er på. Men alvorligt er dette en sådan dum ting at gøre. URL",OFF
1649,1650,79939,"@USER @USER @USER Jeg foreslår, at du får dårligere job, da du er netop det, de ikke ønsker. du har måske endda været på det samme kontor. Du har måske været med at diskutere med dig selv. I er bare begge homoseksuelle",OFF
